alpha,lambda,Two Werner States Ent 1,Single Werner State Ent 1 Dbld,Single Werner State Ent 2 Dbld,Ent 1 Dif,Ent_1 v Ent_2 dif
-0.54,0.8700564971751412,8.741488021582757,12.227937190936593,8.741488021660818,-3.486449169353836,-7.80602249506046e-11
-0.53,0.8668555240793201,8.752123064200337,12.15772104607171,8.752123064041681,-3.4055979818713737,1.5865531111103337e-10
-0.52,0.8636363636363636,8.762858213494827,12.088788238716907,8.762858213272049,-3.32593002522208,2.227782402997036e-10
-0.51,0.8603988603988605,8.77369496463989,12.02108475526333,8.773694964843589,-3.247389790623439,-2.0369839148770552e-10
-0.5,0.8571428571428571,8.784634845343527,11.954559846999834,8.78463484555752,-3.1699250016563063,-2.1399237937202997e-10
-0.49,0.8538681948424068,8.795679414328674,11.889165771360938,8.795679414379606,-3.0934863570322637,-5.093170329928398e-11
-0.48,0.8505747126436781,8.80683026335132,11.824857558299897,8.806830263324182,-3.0180272949485776,2.7137403435517626e-11
-0.47,0.8472622478386168,8.818089018409886,11.761592798914748,8.818089018368418,-2.9435037805048623,4.146727405895945e-11
-0.46,0.8439306358381503,8.829457340402277,11.699331453831137,8.82945734039804,-2.8698741134288603,4.236611061969597e-12
-0.45,0.8405797101449275,8.840936926192015,11.638035679166368,8.840936926185819,-2.797098752974353,6.195932655828074e-12
-0.44,0.8372093023255813,8.852529509599805,11.577669668173613,8.852529509404196,-2.725140158573808,1.9560886244107678e-10
-0.43,0.8338192419825072,8.86423686169383,11.518199506900766,8.864236861673472,-2.6539626452069367,2.035704937952687e-11
-0.42,0.8304093567251462,8.876060690313132,11.459593042401275,8.876060793647056,-2.5835323520881435,-1.0333392452821499e-7
-0.41,0.8269794721407624,8.88800315728312,11.401819762209287,8.888003156135383,-2.513816604926168,1.147736128359611e-9
-0.4,0.8235294117647058,8.900065841392362,11.34485068394299,8.900065841270095,-2.4447848425506287,1.2226664125591924e-10
-0.39,0.8200589970501475,8.912250783569409,11.28865825403154,8.912250783710299,-2.376407470462132,-1.4088996636019147e-10
-0.38,0.8165680473372781,8.924559960590122,11.233216254675243,8.924559961892655,-2.3086562940851216,-1.302533192415467e-9
-0.37,0.8130563798219584,8.93699539929267,11.178499718248508,8.936995399327287,-2.2415043189558386,-3.461764208623208e-11
-0.36,0.8095238095238095,8.949559165954383,11.124484848442146,8.949559165941466,-2.1749256824877623,1.2917666936118621e-11
-0.35,0.8059701492537313,8.962253379448384,11.071148947517985,8.962253379473232,-2.1088955680696007,-2.4847679469530703e-11
-0.34,0.8023952095808384,8.975080253247366,11.018470349115823,8.975080206917184,-2.0433900958684568,4.633018235722375e-8
-0.33,0.7987987987987988,8.988041865864346,10.966428356111605,8.98804186602477,-1.9783864902472583,-1.6042278616623662e-10
-0.32,0.7951807228915664,9.00114062695604,10.915003183077795,9.001140626861567,-1.9138625561217548,9.447376214666292e-11
-0.31,0.7915407854984895,9.014378813757908,10.864175902942723,9.014378813424159,-1.8497970891848148,3.3374902841387666e-10
-0.3,0.787878787878788,9.027758805262017,10.813928397486322,9.027758805319348,-1.7861695922243044,-5.7330140634803683e-11
-0.29,0.78419452887538,9.041283039503076,10.764243311345744,9.041283039508599,-1.722960271842668,-5.522693413695379e-12
-0.28,0.7804878048780487,9.054954012077342,10.715104009236168,9.054954012120792,-1.6601499971588254,-4.3449688291730126e-11
-0.27,0.7767584097859327,9.068774280222613,10.666494536120755,9.06877428033646,-1.5977202558981425,-1.1384670983716205e-10
-0.26,0.7730061349693252,9.082746464352889,10.61839958008888,9.082746464346947,-1.5356531157359914,5.941913627793838e-12
-0.25,0.7692307692307693,9.096873263048892,10.570804437724497,9.096873249392084,-1.4739311746756059,1.3656807240636226e-8
-0.24,0.7654320987654321,9.11115825824814,10.523694981766702,9.111157387880123,-1.4125367235185617,8.703680176580519e-7
-0.23,0.7616099071207431,9.125601701663012,10.477057630882673,9.125601701593995,-1.3514559292196608,6.901679228121793e-11
-0.22,0.7577639751552795,9.14020908404903,10.430879321389362,9.140209083988086,-1.2906702373403327,6.094325044614379e-11
-0.21,0.7538940809968847,9.154982502453308,10.385147480775025,9.154982502580042,-1.2301649783217172,-1.2673417870701087e-10
-0.2,0.7499999999999999,9.169925001336502,10.339850002884624,9.169925001442312,-1.1699250015481226,-1.0581047149571532e-10
-0.19,0.7460815047021944,9.185039703830292,10.294975224645114,9.185039703798477,-1.1099355208148225,3.1814550993658486e-11
-0.18,0.7421383647798742,9.20032981481689,10.250511904217168,9.200329814729653,-1.0501820894002787,8.72368843829463e-11
-0.17,0.7381703470031545,9.215798623966343,10.206449200469589,9.21579862399663,-0.9906505765032456,-3.028688411177427e-11
-0.16,0.7341772151898733,9.231449508979376,10.16277665368131,9.231449508983687,-0.9313271447019336,-4.311218049224408e-12
-0.15,0.7301587301587301,9.247285788351896,10.119484167383778,9.247285937770432,-0.8721983790318824,-1.494185362105327e-7
-0.14,0.7261146496815287,9.263311472478645,10.076561991263683,9.263311472338394,-0.8132505187850381,1.4025047789800738e-10
-0.13,0.7220447284345047,9.279529772609987,10.034000705052405,9.279529771919485,-0.7544709324424179,6.905018778979866e-10
-0.12,0.717948717948718,9.295944596499574,9.991791203334525,9.295944596493912,-0.6958466068349516,5.661249247168598e-12
-0.11,0.7138263665594856,9.312559806403076,9.949924681213034,9.312559810445617,-0.6373648748099576,-4.042540524551441e-9
-0.1,0.7096774193548387,9.329379386376122,9.90839262077375,9.329379386383781,-0.5790132343976282,-7.65965069149388e-12
-0.09,0.7055016181229774,9.346407409134631,9.86718677829598,9.34640740913952,-0.5207793691613496,-4.888534022029489e-12
-0.08,0.7012987012987013,9.363648079916036,9.8262991721604,9.36364807994749,-0.4626510922443643,-3.1453950555260235e-11
-0.07,0.6970684039087949,9.381105720891117,9.78572207140892,9.381105720822688,-0.4046163505178022,6.842881816737645e-11
